,column,desc
80,adults, NUMBER OF MEMBERS OVER 17 YEARS OLD. 18+ YEARS
81,unrelat, (Is everyone in the household related to you in some way?...) IF NO: How many persons in the household are not related to you in any way?
82,earnrs, Just thinking about your family now--those people in the household who are related to you . . . How many persons in the family (including yourself) earned any money in (2019/2020) from any job or employment?
83,income," In which of these groups did your total family income, from all sources, fall last year before taxes, that is?"
84,rincome, Did you earn any income from [OCCUPATION DESCRIBED IN OCC-INDUSTRY] in (2019/2020)?
85,realinc, Family income in 1972-2006 surveys in constant dollars (base=1986)
86,income16," In which of these groups did your total family income, from all sources, fall last year? That is, before taxes."
87,rincom16," In which of these groups did your earnings from (OCC), from all sources for (2019/2020) fall? That is, before taxes or other deductions."
88,realrinc, Respondent's income on 1972-2006 surveys in constant dollars (base = 1986)
89,coninc, Inflation-adjusted family income.
90,conrinc, Inflation-adjusted personal income.
91,region, REGION OF INTERVIEW
92,xnorcsiz, NORC SIZE OF PLACE
93,srcbelt," SRC (SURVEY RESEARCH CENTER, UNIVERSITY OF MICHIGAN) NEW BELT CODE"
94,size, SIZE OF PLACE: Size of place in thousands is a 4 digit code which provides actual size of place of interview. Remember when using this code to add 3 zeros. Listed below are the frequencies for gross population categories.
95,partyid," Generally speaking, do you usually think of yourself as a Republican, Democrat, Independent, or what?"
96,vote16," In 2016, you remember that Hillary Clinton ran for President on the Democratic ticket against Donald Trump for the Republicans. Do you remember for sure whether or not you voted in that election?"
97,pres16, Did you vote for Hillary Clinton or Donald Trump?
98,if16who," Who would you have voted for, for president, if you had voted?"
99,polviews, We hear a lot of talk these days about liberals and conservatives. I'm going to show you a seven-point scale on which the political views that people might hold are arranged from extremely liberal--point 1--to extremely conservative--point 7. Where would you place yourself on this scale?
100,natspac," (Letâs begin with some things people think about today. We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount.) Space exploration program"
101,natspacy," (... are we spending too much, too little, or about the right amount on) Space exploration"
102,nataid," (... are we spending too much, too little, or about the right amount on) Foreign aid"
103,nataidy," (... are we spending too much, too little, or about the right amount on) Assistance to other countries"
104,natarms," (... are we spending too much, too little, or about the right amount on) The military, armaments, and defense"
105,natarmsy," (... are we spending too much, too little, or about the right amount on) National defense"
106,natchld," (... are we spending too much, too little, or about the right amount on) Assistance for childcare"
107,natcity," (... are we spending too much, too little, or about the right amount on) Solving the problems of big cities"
108,natcityy," (... are we spending too much, too little, or about the right amount on) Assistance to big cities"
109,natcrime," (... are we spending too much, too little, or about the right amount on) Halting the rising crime rate"
110,natcrimy," (... are we spending too much, too little, or about the right amount on) Law enforcement"
111,natdrug," (... are we spending too much, too little, or about the right amount on) Dealing with drug addiction"
112,natdrugy," (... are we spending too much, too little, or about the right amount on) Drug rehabilitation"
113,nateduc," (... are we spending too much, too little, or about the right amount on) Improving the nation's education system"
114,nateducy," (... are we spending too much, too little, or about the right amount on) Education"
115,natenrgy," (... are we spending too much, too little, or about the right amount on) Developing alternative energy sources"
116,natenvir," (... are we spending too much, too little, or about the right amount on) Improving and protecting the environment"
117,natenviy, Improving and protecting the environment
118,natfare," (... are we spending too much, too little, or about the right amount on) Welfare"
119,natfarey," (... are we spending too much, too little, or about the right amount on) Assistance to the poor"
120,natheal," (... are we spending too much, too little, or about the right amount on) Improving and protecting the nation's health"
121,nathealy," (... are we spending too much, too little, or about the right amount on) Health"
122,natmass," (... are we spending too much, too little, or about the right amount on) Mass Transportation"
123,natpark," (... are we spending too much, too little, or about the right amount on) Parks and recreation"
124,natrace," (... are we spending too much, too little, or about the right amount on) Improving the conditions of Blacks"
125,natracey," (... are we spending too much, too little, or about the right amount on) Assistance to Blacks"
126,natroad," (... are we spending too much, too little, or about the right amount on) Highways and bridges"
127,natsci," (... are we spending too much, too little, or about the right amount on) Supporting scientific research"
128,natsoc," (... are we spending too much, too little, or about the right amount on) Social Security"
129,eqwlth," Some people think that the government in Washington ought to reduce the income differences between the rich and the poor, perhaps by raising the taxes of wealthy families or by giving income assistance to the poor. Others think that the government should not concern itself with reducing this income difference between the rich and the poor. Here is a scale from 1 to 7. Think of a score of 1 as meaning that the government ought to reduce the income differences between rich and poor, and a score of 7 meaning that the government should not concern itself with reducing income differences. What score between 1 and 7 comes closest to the way you feel?"
130,tax," Do you consider the amount of federal income tax which you have to pay as too high, about right, or too low?"
131,spkath," There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion . . . If such a person wanted to make a speech in your (city/town/community) against churches and religion, should he be allowed to speak, or not?"
132,spkathy," (There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religionâ¦) If such a person wanted to make a speech in your community against churches and religion, should this person be allowed to speak, or not?"
133,colath," (There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religionâ¦) Should such a person be allowed to teach in a college or university, or not?"
134,libath," (There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religionâ¦) If some people in your community suggested that a book he wrote against churches and religion should be taken out of your public library, would you favor removing this book, or not?"
135,libathy," (There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religionâ¦) If some people in your community suggested that a book this person wrote against churches and religion should be taken out of your public library, would you favor removing this book, or not?"
136,spkrac," Or consider a person who believes that Blacks are genetically inferior. If such a person wanted to make a speech in your community claiming that Blacks are inferior, should he be allowed to speak, or not?"
137,spkracy," Or consider a person who believes that Blacks are genetically inferiorâ¦ If such a person wanted to make a speech in your community claiming that Blacks are inferior, should this person be allowed to speak, or not?"
138,colrac," (Or consider a person who believes that Blacks are genetically inferiorâ¦) Should such a person be allowed to teach in a college or university, or not?"
139,librac," (Or consider a person who believes that Blacks are genetically inferiorâ¦) If some people in your community suggested that a book he wrote which said Blacks are inferior should be taken out of your public library, would you favor removing this book, or not?"
140,libracy," (Or consider a person who believes that Blacks are genetically inferiorâ¦) If some people in your community suggested that a book this person wrote which said Blacks are inferior should be taken out of your public library, would you favor removing this book, or not?"
141,spkcom," Now,we would like to ask you some questions about a man who admits he is a Communist. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak, or not?"
142,spkcomy," Now,we would like to ask you some questions about a self-identified Communist. Suppose this admitted Communist wanted to make a speech in your community. Should this person be allowed to speak, or not?"
143,colcom," (Now,we would like to ask you some questions about a man who admits he is a Communistâ¦) Suppose he is teaching in a college. Should he be fired, or not?"
144,colcomy," (Now,we would like to ask you some questions about a self-identified Communist...) Suppose this person is teaching in a college. Should this person be fired, or not?"
145,libcom," (Now,we would like to ask you some questions about a man who admits he is a Communistâ¦) Suppose he wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it, or not?"
146,libcomy," (Now,we would like to ask you some questions about a self-identified Communistâ¦) Suppose this person wrote a book which is in your public library. Somebody in your community suggests that the book should be removed from the library. Would you favor removing it, or not?"
147,spkmil," Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community, should he be allowed to speak, or not?"
148,spkmily," Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community, should this person be allowed to speak, or not?"
149,colmil," (Consider a person who advocates doing away with elections and letting the military run the countryâ¦) Should such a person be allowed to teach in a college or university, or not?"
150,libmil," Suppose he wrote a book advocating doing away with elections and letting the military run the country. Somebody in your community suggests that the book be removed from the public library. Would you favor removing it, or not?"
151,libmily," Suppose this person wrote a book advocating doing away with elections and letting the military run the country. Somebody in your community suggests that the book be removed from the public library. Would you favor removing it, or not?"
152,spkhomo," And what about a man who admits that he is homosexualâ¦ Suppose this admitted homosexual wanted to make a speech in your community. Should he be allowed to speak, or not?"
153,spkhomoy," And what about a gay person? Suppose this gay person wanted to make a speech in your community. Should this person be allowed to speak, or not?"
154,colhomo," Should such a person be allowed to teach in a college or university, or not?"
155,libhomo," (And what about a man who admits that he is homosexualâ¦) If some people in your community suggested that a book he wrote in favor of homosexuality should be taken out of your public library, would you favor removing this book, or not?"
156,libhomoy," If somebody in your community suggests that a book the gay person wrote in favor of homosexuality should be taken out of your public library, would you favor removing it, or not?"
157,spkmslm," Now consider a Muslim clergyman who preaches hatred of the United States. If such a person wanted to make a speech in your community preaching hatred of the United States, should he be allowed to speak, or not?"
158,spkmslmy," Now consider a Islamic religious leader who preaches hatred of the United States. If such a person wanted to make a speech in your community preaching hatred of the United States, should this person be allowed to speak, or not?"
159,colmslm," Should such a person be allowed to teach in a college or university, or not?"
160,libmslm," (Now consider a Muslim clergyman who preaches hatred of the United Statesâ¦) If some people in your community suggested that a book he wrote which preaches hatred of the United States should be taken out of your public library, would you favor removing this book, or not?"
161,libmslmy," (Now consider a Islamic religious leader who preaches hatred of the United Statesâ¦) If some people in your community suggested that a book this person wrote which preaches hatred of the United States should be taken out of your public library, would you favor removing this book, or not?"
162,cappun, Do you favor or oppose the death penalty for persons convicted of murder?
163,gunlaw, Would you favor or oppose a law which would require a person to obtain a police permit before he or she could buy a gun?
164,courtsv," In general, do you think the courts in this area deal too harshly or not harshly enough with criminals?"
165,courtsnv," In general, do you think the courts in this area deal too harshly or not harshly enough with criminals?"
166,grassv, Do you think the use of marijuana should be made legal or not?
167,grassnv, Do you think the use of marijuana should be made legal or not?
168,relig," What is your religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion?"
169,denom, (PROBE FOR EXACT DENOMINATION)
170,other, if any?(PROBE FOR EXACT DENOMINATION)
171,attend," How often do you attend religious services? (USE CATEGORIES AS PROBES, IF NECESSARY.)"
172,coden," (What is your partner's religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion?...) What specific denomination is that, if any? (PROBE FOR EXACT DENOMINATION)"
173,coother," (What is your partner's religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion?...) What specific denomination is that, if any? (PROBE FOR EXACT DENOMINATION)"
174,cofund," (What is your partner's religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion?...) Fundamentalism/Liberalism of Religion of Partner"
175,cojew," IF JEWISH: Doeyour partner considehis/herself Orthodox, Conservative, Reform or none of these? (PROBE FOR EXACT DENOMINATION)"
176,corel," What is your partner's religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion? (PROBE FOR EXACT DENOMINATION)"
177,denom16, (PROBE FOR EXACT DENOMINATION)
178,oth16, (PROBE FOR EXACT DENOMINATION)
179,fund, Fundamentalism/Liberalism of Respondent's Religion
180,jew," Conservative, Reform or none of these? (PROBE FOR EXACT DENOMINATION)"
181,fund16, IF JEWISH: Fundamentalism/Liberalism of Religion Respondent Raised In
182,jew16," Reform, or none of these? (PROBE FOR EXACT DENOMINATION)"
183,popespks," We are interested in what American Catholics think about religious matters. Please select the answer that comes closest to your own personal opinion about the following statement: Under certain conditions,the pope is infallible when he speaks on matters of faith and morals."
184,postlifenv, Do you believe there is a life after death?
185,postlifev, Do you believe there is a life after death?
186,pray, About how often do you pray? (USE CATEGORIES AS PROBES.)
187,relig16, In what religion were you raised?
188,spden," (What is your(SPOUSE'S) religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion?...) What specific denomination is that, if any? (PROBE FOR EXACT DENOMINATION)"
189,spother, Please specify denomination:
190,spfund," (What is your(SPOUSE'S) religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion?...) Fundamentalism/Liberalism of Religion of Spouse"
191,spjew," (What is your(SPOUSE'S) religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion?...) Does (s/he) consider (her/himself) Orthodox, Conservative, Reform or none of these? (PROBE FOR EXACT DENOMINATION)"
192,sprel," IF R CURRENTLY MARRIED, ASK Q. 120 and 121 (OTHERS, SKIP SPREL and SPREL16) What is your (SPOUSE'S) religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion?"
193,relitenv, (ASK EVERYONE WITH ANY RELIGIOUS PREFERENCE NAMED IN RELIG) Would you call yourself a strong (PREFERENCE NAMED IN RELIG) or a not very strong (PREFERENCE NAMED IN RELIG)?
194,relitennv, (ASK EVERYONE WITH ANY RELIGIOUS PREFERENCE NAMED IN RELIG) Would you call yourself a strong (PREFERENCE NAMED IN RELIG) or a not very strong (PREFERENCE NAMED IN RELIG)?
195,biblenv," Which of these statements comes closest to describing your feelings about the Bible? A.) The Bible is the actual word of God and is to be taken literally, word for word. B.)The Bible is the inspired word of God but not everything in it should be taken literally, word for word. C.)The Bible is an ancient book of fables, legends, history, and moral precepts recorded by man."
196,biblev," Which of these statements comes closest to describing your feelings about the Bible? A.) The Bible is the actual word of God and is to be taken literally, word for word. B.)The Bible is the inspired word of God but not everything in it should be taken literally, word for word. C.)The Bible is an ancient book of fables, legends, history, and moral precepts recorded by man."
197,prayerv, The United States Supreme Court has ruled that no state or local government may require the reading of the Lord's Prayer or Bible verses in public schools. What are your views on this--do you approve or disapprove of the court ruling?
198,prayernv, The United States Supreme Court has ruled that no state or local government may require the reading of the Lord's Prayer or Bible verses in public schools. What are your views on this--do you approve or disapprove of the court ruling?
199,raclive," Are there any (âwhitesâ for black respondents, âblacksâ for non-black respondents) living in this neighborhood now?"
200,racopenv," Suppose there is a community-wide vote on the general housing issue. There are two possible laws to vote on: One law says that a homeowner can decide whom to sell their house to, even if that homeowner prefers not to sell to someone because of their race or color. The second law says that a homeowner cannot refuse to sell to someone because of their race or color. Which law would you vote for?"
201,racopennv," Suppose there is a community-wide vote on the general housing issue. There are two possible laws to vote on: One law says that a homeowner can decide whom to sell their house to, even if that homeowner prefers not to sell to someone because of their race or color. The second law says that a homeowner cannot refuse to sell to someone because of their race or color. Which law would you vote for?"
202,affrmact," Some people say that because of past discrimination, Blacks should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of Blacks is wrong because it discriminates against Whites. What about your opinion? Are you for or against preferential hiring and promotion of Blacks? IF FAVORS: Do you favor preference in hiring and promotion strongly or not strongly? IF OPPOSES: Do you oppose preference in hiring and promotion strongly or not strongly?"
203,wrkwayup," Do you agree strongly, agree somewhat, neither agree nor disagree, disagree somewhat, or disagree strongly with the following statement: Irish, Italians, Jewish and many other minorities overcame prejudice and worked their way up. Blacks should do the same without special favors."
204,happy," Taken all together, how would you say things are these days--would you say that you are very happy, pretty happy, or not too happy?"
205,hapmar," (IF CURRENTLY MARRIED, ASK HAPMAR) Taking things all together, how would you describe your marriage? Would you say that your marriage is very happy, pretty happy, or not too happy?"
206,hapcohab," (IF CURRENTLY UNMARRIED OR ANSWERED PUNCHES 1 OR 2 FOR POSSLQ OR POSSLQY, ASK HAPCOHAB) Taking things all together, would you say that your relationship with your partner is very happy, pretty happy, or not too happy?"
207,health," Would you say your own health, in general, is excellent, good, fair, or poor?"
208,life," In general, do you find life exciting, pretty routine, or dull?"
209,fairv," Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair?"
210,fairnv," Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair?"
211,helpfulv," Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?"
212,helpfulnv," Would you say that most of the time people try to be helpful, or that they are mostly just looking out for themselves?"
213,trustv," Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?"
214,trustnv," Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?"
215,conbus," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Major companies"
216,conclerg," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Organized religion"
217,coneduc," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Education"
218,confed," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Executive branch of the federal government"
219,conlabor," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Organized labor"
220,conpress," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Press"
221,conmedic," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Medicine"
222,contv," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) TV"
223,conjudge," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) U.S. Supreme Court"
224,consci," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Scientific Community"
225,conlegis," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Congress"
226,conarmy," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Military"
227,confinan," (I am going to name some institutions in this country. As far as the people running this institution are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Banks and financial institutions"
228,confedvac," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) The federal government ensuring the safety of vaccines to protect the public against serious diseases."
229,confedvacy," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) The federal government ensuring the safety of vaccines to protect the public against COVID-19."
230,conpharvac," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Pharmaceutical companies"
231,conpharvacy," (I am going to name some institutions in this country. As far as the people running these institutions are concerned, would you say you have a great deal of confidence, only some confidence, or hardly any confidence at all in them?) Pharmaceutical companies"
232,obey," (If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? Which comes next in importance? Which comes third? Which comes fourth?) To obey"
233,popular," (If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? Which comes next in importance? Which comes third? Which comes fourth?) To be well-liked or popular"
234,thnkself," (If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? Which comes next in importance? Which comes third? Which comes fourth?) To think for himself or herself"
235,workhard," (If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? Which comes next in importance? Which comes third? Which comes fourth?) To work hard"
236,helpoth," (If you had to choose, which thing on this list would you pick as the most important for a child to learn to prepare him or her for life? Which comes next in importance? Which comes third? Which comes fourth?) To help others when they need help."
237,socrel," (For each of the next four questions, please select the answer that comes closest to how often you do the following thingsâ¦) How often do you spend a social evening with relatives?"
238,socommun," (For each of the next four questions, please select the answer that comes closest to how often you do the following thingsâ¦) How often do you spend a social evening with someone who lives in your neighborhood?"
239,socfrend," (For each of the next four questions, please select the answer that comes closest to how often you do the following thingsâ¦) Spend a social evening with friends who live outside the neighborhood?"
240,socbar," (For each of the next four questions, please select the answer that comes closest to how often you do the following thingsâ¦) Go to a bar or tavern?"
241,agedv," As you know, many older people share a home with their grown children. Do you think this is generally a good idea or a bad idea?"
242,agednv," As you know, many older people share a home with their grown children. Do you think this is generally a good idea or a bad idea?"
243,weekswrk, Now I'd like to ask you about last year. In (2019/2020) how many weeks did you work either full-time or part-time not counting work around the house--include paid vacations and sick leave?
244,partfull," When you worked in [2019/2020], was it usually full or part time?"
245,richwork," (IF CURRENTLY WORKING OR TEMPORARILY NOT AT WORK, ASK RICHWORK.) If you were to get enough money to live as comfortably as you would like for the rest of your life, would you continue to work or would you stop working?"
246,class," If you were asked to use one of four names for your social class, which would you say you belong in: the lower class, the working class, the middle class, or the upper class?"
247,rank, (In our society there are groups which tend to be towards the top and those that are towards the bottom. Here we have a scale that runs from top to bottomâ¦) Where would you put yourself on this scale?
248,satfin," We are interested in how people are getting along financially these days. So far as you and your family are concerned, would you say that you are pretty well satisfied with your present financial situation, more or less satisfied, or not satisfied at all?"
249,finalter," During the last few years, has your financial situation been getting better, worse, or has it stayed the same?"
250,finrela," Compared with American families in general, would you say your family income is far below average, below average, average, above average, or far above average? (PROBE: Just your best guess.)"
251,wksub," We have some more questions about [your/your spouse's] job. At work, [do you/does your spouse] have a supervisor to whom [you/he or she] are directly responsible?"
252,wksubs, IF YES: Does that supervisor have a supervisor to whom he or she is directly responsible?
253,wksub1, Do you (does your (SPOUSE or PARTNER) have a supervisor on (your/his/her) job to whom you are (he/she/is) directly responsible?
254,wksubs1, IF YES: Does that person have a supervisor on the job to whom he is directly responsible?
255,wksup1," In your (SPOUSE or PARTNER'S) job, (do you/does he/she) supervise anyone who is directly responsible to (you/him/her)?"
256,wksup," At work, [do you/does your spouse] supervise anyone who is directly responsible to [you/your spouse]?"
257,wksups, Is anyone that [you supervise/your spouse supervises] the direct supervisor of somebody else?
